symbol,name,marketCap,sector,industry,country
AIR,AAR Corp. Common Stock,4809321026.0,Industrials,Aerospace,United States
AIT,Applied Industrial Technologies Inc. Common Stock,12249651966.0,Consumer Discretionary,Industrial Specialties,United States
AIZ,Assurant Inc. Common Stock,13167966076.0,Finance,Property-Casualty Insurers,United States
AJG,Arthur J. Gallagher & Co. Common Stock,58856732000.0,Finance,Specialty Insurers,United States
AKAM,Akamai Technologies Inc. Common Stock,17021795170.0,Consumer Discretionary,Business Services,United States
AKR,Acadia Realty Trust Common Stock,2624428317.0,Real Estate,Real Estate Investment Trusts,United States
ALAB,Astera Labs Inc. Common Stock,62534440588.0,Technology,Semiconductors,United States
ALB,Albemarle Corporation Common Stock,13390033818.0,Industrials,Major Chemicals,United States
ALC,Alcon Inc. Ordinary Shares,32675383000.0,Health Care,Ophthalmic Goods,Switzerland
ALG,Alamo Group Inc. Common Stock,2003827678.0,Industrials,Industrial Machinery/Components,United States
ALGM,Allegro MicroSystems Inc. Common Stock,6544575835.0,Technology,Semiconductors,United States
ALGN,Align Technology Inc. Common Stock,10525974871.0,Health Care,Industrial Specialties,United States
ALGT,Allegiant Travel Company Common Stock,2112114951.0,Consumer Discretionary,Air Freight/Delivery Services,United States
ALH,Alliance Laundry Holdings Inc. Common Stock,4188486253.0,Industrials,Industrial Machinery/Components,United States
ALK,Alaska Air Group Inc. Common Stock,4430643864.0,Consumer Discretionary,Air Freight/Delivery Services,United States
ALKS,Alkermes plc Ordinary Shares,7067866649.0,Health Care,Biotechnology: Pharmaceutical Preparations,Ireland
ALL,Allstate Corporation (The) Common Stock,57059924997.0,Finance,Property-Casualty Insurers,United States
ALLE,Allegion plc Ordinary Shares,13103318355.0,Consumer Discretionary,Diversified Commercial Services,United States
ALLY,Ally Financial Inc. Common Stock,11736024156.0,Finance,Major Banks,United States
ALM,Almonty Industries Inc. Common Shares,3929107815.0,Basic Materials,Other Metals and Minerals,Canada
ALMR,Alamar Biosciences Inc. Common Stock,2230283499.0,Industrials,Biotechnology: Laboratory Analytical Instruments,United States
